,name,dataset,model,pooling,N,max_length,layer,anisotropy,inference_time,cased,no_stop
0,wiki1m_for_simcse_shuf|bert-base-uncased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none,1000,32,0,0.08441862655321165,0.039936969995498665,False,False
1,wiki1m_for_simcse_shuf|bert-base-uncased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none,1000,32,1,0.13692493552342058,0.039936969995498665,False,False
2,wiki1m_for_simcse_shuf|bert-base-uncased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none,1000,32,2,0.19933914877288045,0.039936969995498665,False,False
3,wiki1m_for_simcse_shuf|bert-base-uncased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none,1000,32,3,0.17445296667143706,0.039936969995498665,False,False
4,wiki1m_for_simcse_shuf|bert-base-uncased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none,1000,32,4,0.20078588764369487,0.039936969995498665,False,False
5,wiki1m_for_simcse_shuf|bert-base-uncased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none,1000,32,5,0.22925111166015266,0.039936969995498665,False,False
6,wiki1m_for_simcse_shuf|bert-base-uncased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none,1000,32,6,0.21816969787329435,0.039936969995498665,False,False
7,wiki1m_for_simcse_shuf|bert-base-uncased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none,1000,32,7,0.2132215924412012,0.039936969995498665,False,False
8,wiki1m_for_simcse_shuf|bert-base-uncased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none,1000,32,8,0.21753572303429247,0.039936969995498665,False,False
9,wiki1m_for_simcse_shuf|bert-base-uncased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none,1000,32,9,0.18121556055918334,0.039936969995498665,False,False
10,wiki1m_for_simcse_shuf|bert-base-uncased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none,1000,32,10,0.1748219641491305,0.039936969995498665,False,False
11,wiki1m_for_simcse_shuf|bert-base-uncased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none,1000,32,11,0.2208335100032855,0.039936969995498665,False,False
12,wiki1m_for_simcse_shuf|bert-base-uncased|none|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none,1000,32,12,0.2039037479553372,0.039936969995498665,False,False
0,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP,1000,32,0,0.07989832439520979,0.046758955001831054,False,False
1,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP,1000,32,1,0.1379193196967244,0.046758955001831054,False,False
2,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP,1000,32,2,0.19200833636522294,0.046758955001831054,False,False
3,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP,1000,32,3,0.16749555409140884,0.046758955001831054,False,False
4,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP,1000,32,4,0.20000195871666074,0.046758955001831054,False,False
5,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP,1000,32,5,0.22565268656238915,0.046758955001831054,False,False
6,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP,1000,32,6,0.21306853449717164,0.046758955001831054,False,False
7,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP,1000,32,7,0.20822496435791246,0.046758955001831054,False,False
8,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP,1000,32,8,0.2102387300655245,0.046758955001831054,False,False
9,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP,1000,32,9,0.1884264897443354,0.046758955001831054,False,False
10,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP,1000,32,10,0.18696290611103167,0.046758955001831054,False,False
11,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP,1000,32,11,0.21667497077933512,0.046758955001831054,False,False
12,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP,1000,32,12,0.20296988936699928,0.046758955001831054,False,False
0,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_CLS,1000,32,0,0.08698789185847272,0.049755822181701666,False,False
1,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_CLS,1000,32,1,0.12915773622319102,0.049755822181701666,False,False
2,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_CLS,1000,32,2,0.17996627985313535,0.049755822181701666,False,False
3,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_CLS,1000,32,3,0.16835931630060078,0.049755822181701666,False,False
4,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_CLS,1000,32,4,0.18419211618974804,0.049755822181701666,False,False
5,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_CLS,1000,32,5,0.22164380967617034,0.049755822181701666,False,False
6,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_CLS,1000,32,6,0.20744543089717624,0.049755822181701666,False,False
7,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_CLS,1000,32,7,0.20838146368414165,0.049755822181701666,False,False
8,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_CLS,1000,32,8,0.2117571186069399,0.049755822181701666,False,False
9,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_CLS,1000,32,9,0.17942877519410105,0.049755822181701666,False,False
10,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_CLS,1000,32,10,0.18206169709878486,0.049755822181701666,False,False
11,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_CLS,1000,32,11,0.2283468782734125,0.049755822181701666,False,False
12,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_CLS,1000,32,12,0.2139208985250443,0.049755822181701666,False,False
0,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP_no_CLS,1000,32,0,0.0820727199162909,0.05834717559814453,False,False
1,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP_no_CLS,1000,32,1,0.12937290358543396,0.05834717559814453,False,False
2,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP_no_CLS,1000,32,2,0.1787646367661655,0.05834717559814453,False,False
3,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP_no_CLS,1000,32,3,0.16016367421858013,0.05834717559814453,False,False
4,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP_no_CLS,1000,32,4,0.1858605517745018,0.05834717559814453,False,False
5,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP_no_CLS,1000,32,5,0.22375689458101988,0.05834717559814453,False,False
6,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP_no_CLS,1000,32,6,0.20702754533290865,0.05834717559814453,False,False
7,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP_no_CLS,1000,32,7,0.21602009708434344,0.05834717559814453,False,False
8,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP_no_CLS,1000,32,8,0.20653081780672072,0.05834717559814453,False,False
9,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP_no_CLS,1000,32,9,0.18187667728867385,0.05834717559814453,False,False
10,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP_no_CLS,1000,32,10,0.17634657480940222,0.05834717559814453,False,False
11,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP_no_CLS,1000,32,11,0.23112703405553475,0.05834717559814453,False,False
12,wiki1m_for_simcse_shuf|bert-base-uncased|none_no_SEP_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,none_no_SEP_no_CLS,1000,32,12,0.2127267712764442,0.05834717559814453,False,False
0,wiki1m_for_simcse_shuf|bert-base-uncased|avg|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg,1000,32,0,0.5978257724642754,0.06475526428222657,False,False
1,wiki1m_for_simcse_shuf|bert-base-uncased|avg|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg,1000,32,1,0.5883644786179065,0.06475526428222657,False,False
2,wiki1m_for_simcse_shuf|bert-base-uncased|avg|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg,1000,32,2,0.6677130137681961,0.06475526428222657,False,False
3,wiki1m_for_simcse_shuf|bert-base-uncased|avg|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg,1000,32,3,0.6830774345695972,0.06475526428222657,False,False
4,wiki1m_for_simcse_shuf|bert-base-uncased|avg|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg,1000,32,4,0.7230579993426801,0.06475526428222657,False,False
5,wiki1m_for_simcse_shuf|bert-base-uncased|avg|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg,1000,32,5,0.7248056333661079,0.06475526428222657,False,False
6,wiki1m_for_simcse_shuf|bert-base-uncased|avg|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg,1000,32,6,0.7083950855731964,0.06475526428222657,False,False
7,wiki1m_for_simcse_shuf|bert-base-uncased|avg|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg,1000,32,7,0.6819803015291691,0.06475526428222657,False,False
8,wiki1m_for_simcse_shuf|bert-base-uncased|avg|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg,1000,32,8,0.639316743850708,0.06475526428222657,False,False
9,wiki1m_for_simcse_shuf|bert-base-uncased|avg|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg,1000,32,9,0.5601831650137902,0.06475526428222657,False,False
10,wiki1m_for_simcse_shuf|bert-base-uncased|avg|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg,1000,32,10,0.4919737538695335,0.06475526428222657,False,False
11,wiki1m_for_simcse_shuf|bert-base-uncased|avg|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg,1000,32,11,0.5309970485195518,0.06475526428222657,False,False
12,wiki1m_for_simcse_shuf|bert-base-uncased|avg|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg,1000,32,12,0.4990205182135105,0.06475526428222657,False,False
0,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_SEP,1000,32,0,0.5977132375836373,0.05488388848304748,False,False
1,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_SEP,1000,32,1,0.5882802820503712,0.05488388848304748,False,False
2,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_SEP,1000,32,2,0.6676356051266193,0.05488388848304748,False,False
3,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_SEP,1000,32,3,0.6830235706865787,0.05488388848304748,False,False
4,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_SEP,1000,32,4,0.7230343909561634,0.05488388848304748,False,False
5,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_SEP,1000,32,5,0.7247876473963261,0.05488388848304748,False,False
6,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_SEP,1000,32,6,0.7083677860498429,0.05488388848304748,False,False
7,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_SEP,1000,32,7,0.6819468628466129,0.05488388848304748,False,False
8,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_SEP,1000,32,8,0.6392880091369152,0.05488388848304748,False,False
9,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_SEP,1000,32,9,0.5601685152053834,0.05488388848304748,False,False
10,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_SEP,1000,32,10,0.4919774177223444,0.05488388848304748,False,False
11,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_SEP,1000,32,11,0.5310059537813068,0.05488388848304748,False,False
12,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_SEP|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_SEP,1000,32,12,0.4989907517433166,0.05488388848304748,False,False
0,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_CLS,1000,32,0,0.5639598837196826,0.05744746112823487,False,False
1,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_CLS,1000,32,1,0.5574999670088291,0.05744746112823487,False,False
2,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_CLS,1000,32,2,0.6363352416753769,0.05744746112823487,False,False
3,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_CLS,1000,32,3,0.6494668891727924,0.05744746112823487,False,False
4,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_CLS,1000,32,4,0.6856098649203777,0.05744746112823487,False,False
5,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_CLS,1000,32,5,0.6893498686552048,0.05744746112823487,False,False
6,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_CLS,1000,32,6,0.6776045732200145,0.05744746112823487,False,False
7,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_CLS,1000,32,7,0.6586587857007979,0.05744746112823487,False,False
8,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_CLS,1000,32,8,0.616828221976757,0.05744746112823487,False,False
9,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_CLS,1000,32,9,0.5409815630614757,0.05744746112823487,False,False
10,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_CLS,1000,32,10,0.4746777023673058,0.05744746112823487,False,False
11,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_CLS,1000,32,11,0.5213902636915445,0.05744746112823487,False,False
12,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_CLS,1000,32,12,0.5118117145299912,0.05744746112823487,False,False
0,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_SEP_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_SEP_no_CLS,1000,32,0,0.5638655488342047,0.06374507308006287,False,False
1,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_SEP_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_SEP_no_CLS,1000,32,1,0.5574230298995971,0.06374507308006287,False,False
2,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_SEP_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_SEP_no_CLS,1000,32,2,0.6362604374587536,0.06374507308006287,False,False
3,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_SEP_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_SEP_no_CLS,1000,32,3,0.6494117966890335,0.06374507308006287,False,False
4,wiki1m_for_simcse_shuf|bert-base-uncased|avg_no_SEP_no_CLS|1000|32,wiki1m_for_simcse_shuf,bert-base-uncased,avg_no_SEP_no_CLS,1000,32,4,0.6855859477519989,0.06374507308006287,False,False
